protein_id,species_key,B,I,eta,length,domain
P0CX55,yeast,20.25,3836.0,0.005278936392075,135.0,eukaryota
P26263,yeast,84.30000000000001,88568.0,0.0009518110378466,562.0,eukaryota
P0CF20,yeast,20.4,3797.0,0.0053726626283908,136.0,eukaryota
P43321,yeast,13.2,4071.0,0.0032424465733235,88.0,eukaryota
P0CX26,yeast,13.8,1316.0,0.0104863221884498,92.0,eukaryota
P38147,yeast,64.8,45535.0,0.0014230811463709,432.0,eukaryota
P50087,yeast,27.75,1766.0,0.0157134767836919,185.0,eukaryota
Q12396,yeast,46.2,45102.0,0.0010243448184116,308.0,eukaryota
P53277,yeast,18.9,10.0,1.89,126.0,eukaryota
Q12226,yeast,64.05,99098.0,0.0006463298956588,427.0,eukaryota
Q12222,yeast,50.1,26611.0,0.0018826800946976,334.0,eukaryota
P36025,yeast,13.05,1842.0,0.0070846905537459,87.0,eukaryota
P29461,yeast,62.1,72539.0,0.0008560912061098,414.0,eukaryota
P47041,yeast,33.75,8712.0,0.0038739669421487,225.0,eukaryota
Q08182,yeast,15.6,0.0,,104.0,eukaryota
P38265,yeast,32.4,23110.0,0.0014019904803115,216.0,eukaryota
Q12458,yeast,46.8,38465.0,0.0012166904978551,312.0,eukaryota
P38994,yeast,51.900000000000006,34854.0,0.0014890686865209,346.0,eukaryota
P40064,yeast,163.65,147454.0,0.0011098376442822,1091.0,eukaryota
Q02875,yeast,40.8,4544.0,0.0089788732394366,272.0,eukaryota
P38915,yeast,61.5,81755.0,0.000752247568956,410.0,eukaryota
P47104,yeast,171.9,155820.0,0.0011031959953792,1146.0,eukaryota
P25356,yeast,256.05,261058.0,0.0009808165235311,1707.0,eukaryota
P25573,yeast,37.95,12662.0,0.0029971568472595,253.0,eukaryota
P32504,yeast,88.80000000000001,55855.0,0.0015898308119237,592.0,eukaryota
P10834,yeast,31.65,13950.0,0.002268817204301,211.0,eukaryota
Q12417,yeast,54.0,45100.0,0.0011973392461197,360.0,eukaryota
P48567,yeast,53.400000000000006,66222.0,0.0008063785448944,356.0,eukaryota
P40166,yeast,3.3000000000000003,0.0,,22.0,eukaryota
P53011,yeast,45.6,22970.0,0.0019851980844579,304.0,eukaryota
P64616,ecoli,0.0,3297.0,0.0,90.0,bacteria
P15047,ecoli,0.0,25642.0,0.0,248.0,bacteria
P64461,ecoli,0.0,7218.0,0.0,96.0,bacteria
P0AAN1,ecoli,0.0,8488.0,0.0,114.0,bacteria
P77295,ecoli,0.0,2375.0,0.0,98.0,bacteria
P0ACJ5,ecoli,0.0,6542.0,0.0,152.0,bacteria
P0ADX9,ecoli,0.0,11183.0,0.0,183.0,bacteria
P0AD07,ecoli,0.0,688.0,0.0,74.0,bacteria
P76214,ecoli,0.0,19636.0,0.0,188.0,bacteria
P56256,ecoli,0.0,12181.0,0.0,151.0,bacteria
P0A847,ecoli,0.0,45313.0,0.0,374.0,bacteria
P0A840,ecoli,0.0,23300.0,0.0,252.0,bacteria
P77234,ecoli,0.0,9797.0,0.0,319.0,bacteria
P46119,ecoli,0.0,1006.0,0.0,61.0,bacteria
P77689,ecoli,0.0,44739.0,0.0,411.0,bacteria
P52143,ecoli,0.0,142021.0,0.0,1424.0,bacteria
P75672,ecoli,0.0,14376.0,0.0,179.0,bacteria
P26616,ecoli,0.0,85751.0,0.0,556.0,bacteria
P0A710,ecoli,0.0,4630.0,0.0,171.0,bacteria
P30864,ecoli,0.0,24414.0,0.0,260.0,bacteria
P0CF79,ecoli,0.0,15589.0,0.0,272.0,bacteria
P77187,ecoli,0.0,53403.0,0.0,500.0,bacteria
P52097,ecoli,0.0,29275.0,0.0,424.0,bacteria
P77551,ecoli,0.0,1477.0,0.0,98.0,bacteria
P0A978,ecoli,0.0,3749.0,0.0,68.0,bacteria
P0AFL1,ecoli,0.0,21105.0,0.0,265.0,bacteria
P0ABT5,ecoli,0.0,27469.0,0.0,316.0,bacteria
P0AG78,ecoli,0.0,43607.0,0.0,311.0,bacteria
P76069,ecoli,0.0,1515.0,0.0,112.0,bacteria
P77294,ecoli,0.0,15617.0,0.0,146.0,bacteria
Q3TZ65,mouse,16380.0,357.0,45.88235294117647,182.0,eukaryota
Q99P72,mouse,9810.0,2979.0,3.293051359516616,109.0,eukaryota
P70445,mouse,7290.0,1442.0,5.055478502080444,81.0,eukaryota
P70339,mouse,5400.0,191.0,28.27225130890052,60.0,eukaryota
O88952,mouse,15930.0,6843.0,2.3279263480929417,177.0,eukaryota
Q8VIK3,mouse,7380.0,2531.0,2.9158435401027263,82.0,eukaryota
Q8CES0,mouse,13680.0,7828.0,1.7475728155339805,152.0,eukaryota
E9Q355,mouse,90090.0,184545.0,0.4881736161911729,1001.0,eukaryota
Q78DX7,mouse,153360.0,179805.0,0.8529240010010845,1704.0,eukaryota
Q0PHV7,mouse,9270.0,5.0,1854.0,103.0,eukaryota
Q9CZ91,mouse,13860.0,3305.0,4.193645990922844,154.0,eukaryota
Q9CPU9,mouse,7650.0,4386.0,1.744186046511628,85.0,eukaryota
P13542,mouse,114480.0,135565.0,0.8444657544351418,1272.0,eukaryota
Q5SUV1,mouse,35550.0,45129.0,0.787741806820448,395.0,eukaryota
O35648,mouse,13230.0,3087.0,4.285714285714286,147.0,eukaryota
P97823,mouse,19980.0,18303.0,1.091624323881331,222.0,eukaryota
P30416,mouse,36900.0,28898.0,1.276904976122915,410.0,eukaryota
P59279,mouse,16830.0,20248.0,0.8311932042670881,187.0,eukaryota
Q91VN0,mouse,113580.0,145000.0,0.7833103448275862,1262.0,eukaryota
Q8BMZ5,mouse,23040.0,19858.0,1.160237687581831,256.0,eukaryota
Q0VBI4,mouse,27090.0,28248.0,0.9590059473237044,301.0,eukaryota
Q8BI38,mouse,36720.0,40173.0,0.9140467478156972,408.0,eukaryota
Q9CWT6,mouse,39060.0,66355.0,0.5886519478562279,434.0,eukaryota
Q08EE8,mouse,56070.0,90528.0,0.6193663838812301,623.0,eukaryota
Q925F3,mouse,21330.0,5075.0,4.20295566502463,237.0,eukaryota
Q8K0Q5,mouse,39330.0,60360.0,0.6515904572564613,437.0,eukaryota
Q61210,mouse,50130.0,30426.0,1.6476040228751725,557.0,eukaryota
P23819,mouse,68580.0,108858.0,0.6299950394091385,762.0,eukaryota
P07091,mouse,7380.0,1154.0,6.395147313691508,82.0,eukaryota
Q8BMB0,mouse,12510.0,3958.0,3.160687215765538,139.0,eukaryota
O13911,schpo,980.1,32938.0,0.0297559050336996,363.0,eukaryota
Q09829,schpo,858.6,11636.0,0.0737882433826057,318.0,eukaryota
O74920,schpo,318.6,1663.0,0.1915814792543596,118.0,eukaryota
O94241,schpo,1015.2,50995.0,0.0199078341013824,376.0,eukaryota
P40902,schpo,815.4,52447.0,0.0155471237630369,302.0,eukaryota
O74537,schpo,1279.8,128997.0,0.0099211609572315,474.0,eukaryota
Q09879,schpo,2700.0,109741.0,0.0246033843322003,1000.0,eukaryota
Q09916,schpo,1134.0,48568.0,0.0233487069675506,420.0,eukaryota
O74441,schpo,1082.7,47805.0,0.0226482585503608,401.0,eukaryota
Q9HFR0,schpo,993.6,8064.0,0.1232142857142857,368.0,eukaryota
O14013,schpo,726.3000000000001,1814.0,0.4003858875413451,269.0,eukaryota
O94498,schpo,488.7,10095.0,0.048410104011887,181.0,eukaryota
O14361,schpo,704.7,35922.0,0.0196175045932854,261.0,eukaryota
C6Y4A2,schpo,16.2,0.0,,6.0,eukaryota
Q09909,schpo,1074.6,23739.0,0.0452672816883609,398.0,eukaryota
P20772,schpo,2060.1,125027.0,0.0164772409159621,763.0,eukaryota
Q00619,schpo,737.1,13306.0,0.0553960619269502,273.0,eukaryota
Q9UTE5,schpo,966.6,35189.0,0.0274688112762511,358.0,eukaryota
Q9US13,schpo,731.7,6068.0,0.1205833882663151,271.0,eukaryota
Q9Y7Z7,schpo,402.3,11638.0,0.0345677951538064,149.0,eukaryota
O42911,schpo,518.4,1575.0,0.3291428571428571,192.0,eukaryota
Q09780,schpo,1047.6,72366.0,0.0144764115744963,388.0,eukaryota
Q9UU77,schpo,367.2,4295.0,0.0854947613504074,136.0,eukaryota
O14089,schpo,2305.8,48403.0,0.0476375431274921,854.0,eukaryota
O94587,schpo,537.3000000000001,10432.0,0.0515049846625766,199.0,eukaryota
O94459,schpo,1417.5,30103.0,0.0470883300667707,525.0,eukaryota
O94514,schpo,1152.9,24622.0,0.0468239785557631,427.0,eukaryota
O94254,schpo,51.3,91.0,0.5637362637362637,19.0,eukaryota
O59770,schpo,648.0,34875.0,0.0185806451612903,240.0,eukaryota
O74422,schpo,386.1,3860.0,0.1000259067357513,143.0,eukaryota
